City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Lompoc,US,77.68,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
143,Victoria,HK,82.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
147,Balykshi,KZ,62.6,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
149,Sri Aman,MY,72.43,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
150,Jena,DE,65.73,overcast clouds,50.9333,11.5833,Jena Hotel - der Thüringer Hof
152,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
153,Sutton Coldfield,GB,60.53,scattered clouds,52.5667,-1.8167,Moor Hall Hotel & Spa
155,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
156,Port Lincoln,AU,60.46,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
157,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
160,Itagi,BR,68.38,scattered clouds,-14.1628,-40.0061,Pousada Itagi
161,Pandan,PH,80.2,overcast clouds,14.0453,124.1694,Bonifacio Lodge
162,Port Blair,IN,83.88,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
165,Glendive,US,77.7,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
166,Vinh,VN,78.55,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
168,Samba,IN,86.81,clear sky,32.5667,75.1167,"Vishal Guest House, Samba"
169,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Madang,PG,76.6,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
172,Barcelos,PT,66.92,clear sky,41.5388,-8.6151,Hotel Do Terço
173,Alofi,NU,76.82,broken clouds,-19.0595,-169.9187,Taloa Heights
176,Upata,VE,74.7,scattered clouds,8.0086,-62.3989,Posada Villa Nela
177,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
178,Umm Lajj,SA,82.78,clear sky,25.0213,37.2685,Moon light Furnished Units
179,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
183,Samarai,PG,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
186,Muros,ES,61.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
188,Sikonge,TZ,68.5,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
190,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
192,Invermere,CA,61.56,overcast clouds,50.5167,-116.0354,Copper Point Resort
197,San Jose,US,85.77,few clouds,37.3394,-121.895,The Westin San Jose
201,Nikolskoye,RU,60.69,broken clouds,59.7035,30.7861,Tourist House - Sablino
203,Broome,US,88.61,scattered clouds,42.2506,-75.833,Chenango Valley State Park
205,Parati,BR,70.39,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
206,Mancio Lima,BR,76.35,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
207,Erenhot,CN,67.68,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
209,Silver City,US,87.76,clear sky,32.7701,-108.2803,Copper Manor Motel
211,Tambilil,PH,78.6,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
212,Veraval,IN,84.78,few clouds,20.9,70.3667,Lords Inn Somnath
213,Manggar,ID,81.97,overcast clouds,-2.8833,108.2667,Guest Hotel
214,Katobu,ID,74.3,broken clouds,-4.9408,122.5276,La Ode Husein
215,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
216,Scottsboro,US,74.5,overcast clouds,34.6723,-86.0341,Econo Lodge
217,Lagoa,PT,63.88,overcast clouds,39.05,-27.9833,Casa Das Faias
219,Karratha,AU,74.43,broken clouds,-20.7377,116.8463,ibis Styles Karratha
220,Trotwood,US,83.43,broken clouds,39.7973,-84.3113,Golf Club
224,Guimar,ES,63.81,few clouds,28.3039,-16.4325,Hostal Dona Lolita
227,Godhra,IN,84.0,scattered clouds,22.75,73.6333,OYO 60822 Hotel Athithi
228,Roebourne,AU,74.12,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
234,Kandrian,PG,78.35,light rain,-6.2167,149.55,Kandrian Station
236,Nantucket,US,82.51,clear sky,41.2835,-70.0995,Jared Coffin House
241,Sarankhola,BD,84.38,overcast clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
242,Meulaboh,ID,74.44,overcast clouds,4.1363,96.1285,Kost Pria
243,Cabo Rojo,PR,83.17,overcast clouds,18.0866,-67.1457,Hotel Perichi's
244,Moosomin,CA,70.65,scattered clouds,50.1333,-101.6677,Motel 6
245,Meridian,US,76.05,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
247,Marsh Harbour,BS,79.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
248,Vao,NC,70.03,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
249,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
253,Oranjestad,AW,82.9,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
254,Vangaindrano,MG,65.8,overcast clouds,-23.35,47.6,Hotel Fanilo
255,Urucui,BR,83.37,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
256,Xichang,CN,65.07,light rain,27.8964,102.2634,Xichang ibis Hotel
257,Puerto Escondido,MX,85.62,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
258,Matagami,CA,83.82,broken clouds,49.7502,-77.6328,Hôtel Matagami
261,La Ronge,CA,62.02,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
262,Canyon Lake,US,89.2,scattered clouds,29.8752,-98.2625,The Lodge At Turkey Cove
263,Castro,BR,60.78,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
264,Camacha,PT,63.36,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
265,Hadejia,NG,89.24,broken clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
268,Antalaha,MG,70.52,few clouds,-14.9003,50.2788,Hotel Vitasoa
270,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
271,Ohara,JP,72.95,overcast clouds,35.25,140.3833,魁
272,Kimbe,PG,78.58,light rain,-5.5502,150.1429,Kimbe Bay Hotel
275,Tarakan,ID,77.95,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
276,Dicabisagan,PH,80.01,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
277,Shimoda,JP,71.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
279,Namie,JP,70.34,overcast clouds,37.4833,141.0,いこいの村なみえ
286,Mackay,AU,66.04,overcast clouds,-21.15,149.2,International Lodge Motel
288,Sayyan,YE,64.72,few clouds,15.1718,44.3244,متنزه و بحيرة سيان
290,Sao Joao Da Barra,BR,74.44,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
292,Cherskiy,RU,66.52,overcast clouds,68.75,161.3,Gostinitsa
295,Jardim,BR,82.08,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
296,Kashi,CN,72.61,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
298,Monreal,PH,81.23,overcast clouds,12.644,123.6648,3f Tourist Inn
299,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
300,Excelsior Springs,US,85.08,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
301,Taitung,TW,78.84,light rain,22.7583,121.1444,Taitung Bali Suites Hotel
304,Dongsheng,CN,65.46,light rain,39.8161,109.9776,Crowne Plaza Ordos
305,San Quintin,MX,66.11,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
306,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
313,Carnarvon,AU,60.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
315,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
319,Hambantota,LK,79.68,overcast clouds,6.1241,81.1185,Bungalow 63
320,Faya,SA,70.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
323,Kabinda,CD,71.06,few clouds,-6.1333,24.4833,Village Mianda Mutole
324,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
325,Hami,CN,64.65,scattered clouds,42.8,93.45,Laoyutang Resort
326,Sinnamary,GF,76.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
328,Port Moresby,PG,75.87,overcast clouds,-9.4431,147.1797,Lamana Hotel
330,Paita,PE,69.57,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
331,Nichinan,JP,66.76,overcast clouds,31.6,131.3667,Guest House Aki
332,Tazmalt,DZ,66.31,few clouds,36.3868,4.3989,Hôtel Numédia
333,Ambilobe,MG,71.06,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
337,San Policarpo,PH,77.92,overcast clouds,12.1791,125.5072,JM Lodge
338,Khargupur,IN,89.29,clear sky,27.3833,81.9833,Shivam home
343,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
344,Conde,BR,72.86,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
345,Balurghat,IN,85.6,broken clouds,25.2167,88.7667,"Circuit House, Balurghat"
346,Codo,BR,78.33,few clouds,-4.4553,-43.8856,Hotel Porto do Sol
347,Garwolin,PL,67.71,broken clouds,51.8975,21.6147,Hotel & Restauracja Sulbin
351,Margate,GB,63.03,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
353,La Asuncion,VE,83.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
354,Akodia,IN,85.77,broken clouds,23.3833,76.6,Ajith mantri restaurant
355,Auki,SB,82.18,clear sky,-8.7676,160.7034,Auki Motel
358,Suba,PH,83.53,overcast clouds,10.8438,121.0102,Casita Bed and Grill
359,Anloga,GH,81.39,few clouds,5.7947,0.8973,Pin Drop Hotel
360,Hamilton,US,84.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
365,Pombas,CV,71.38,few clouds,17.1503,-25.0201,POUSADA O RECANTO
366,Basco,PH,83.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
367,Deer Lake,CA,60.04,scattered clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
371,Kismayo,SO,76.84,light rain,-0.3582,42.5454,Agan-Hotel
373,Bengkulu,ID,73.62,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
376,Itoman,JP,75.58,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
377,Medina Del Campo,ES,65.14,clear sky,41.3124,-4.9141,Hotel Villa de Ferias
381,Faanui,PF,81.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
382,Bentiu,SS,78.53,broken clouds,9.2333,29.8333,Mandela hôtel
384,Victor Harbor,AU,62.47,overcast clouds,-35.5667,138.6167,McCracken Country Club
385,Tafresh,IR,67.28,clear sky,34.692,50.013,هتل یاس سفید
386,Lingao,CN,78.1,broken clouds,19.9103,109.6859,Lingao Ditai Inn
389,Nishihara,JP,74.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
390,Balkhash,KZ,61.56,scattered clouds,46.844,74.9804,Family
391,Millet,CA,66.83,scattered clouds,53.1001,-113.4687,Millet Village Trailer Park
394,Akyab,MM,83.03,overcast clouds,20.15,92.9,Hotel Memory
395,Ribeira Brava,PT,66.83,clear sky,32.65,-17.0667,Hotel do Campo
397,Elverum,NO,60.06,overcast clouds,60.8819,11.5623,Scandic Elgstua
398,Angoche,MZ,72.93,overcast clouds,-16.2325,39.9086,Guest House HESADA
399,Sao Filipe,CV,75.36,few clouds,14.8961,-24.4956,Hotel Xaguate
400,Jiaozuo,CN,83.62,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
401,Casablanca,MA,71.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
402,Trinidad,BO,81.32,broken clouds,-14.8333,-64.9,Hotel Piesta
403,Barra Velha,BR,67.91,light rain,-26.6322,-48.6847,Vila Alaide Praia Hotel
406,Ichihara,JP,73.11,overcast clouds,35.5167,140.0833,Ichihara Marine Hotel
407,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
408,Hearst,CA,81.72,overcast clouds,49.6835,-83.6665,Companion
411,Glace Bay,CA,61.79,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
412,Balikpapan,ID,76.55,light rain,-1.2675,116.8289,ibis Balikpapan
415,Port-Gentil,GA,78.53,broken clouds,-0.7193,8.7815,Fengshui Residence
421,Heze,CN,81.52,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
422,Semirom,IR,64.87,clear sky,31.4167,51.5667,Motel Dena
423,Ugoofaaru,MV,82.49,overcast clouds,5.6667,73.0,Ungoofaaru Inn
429,Shieli,KZ,75.79,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
430,Saint-Pierre,RE,73.08,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
431,San Isidro,PE,65.79,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
433,Lata,PT,61.92,clear sky,40.1629,-8.3327,Casa Maquia
434,Cave Spring,US,89.26,overcast clouds,37.2276,-80.0128,"Holiday Inn Roanoke-Tanglewood-Rt 419&I581, an IHG Hotel"
435,Koumra,TD,77.99,few clouds,8.9126,17.5539,Motel Espoir
439,Chimbote,PE,66.9,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
440,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
441,Aksu,CN,73.47,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
442,Bellary,IN,77.49,scattered clouds,15.15,76.9333,Hotel Pawan
443,Baculin,PH,77.49,overcast clouds,7.4525,126.5842,Shovy's Cove
444,Mao,ES,63.16,clear sky,39.8885,4.2658,ARTIEM Capri
446,Porto Novo,BJ,79.77,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
448,Sabya,SA,86.52,clear sky,17.1495,42.6254,Aseel Hotel Apartment
451,Fontem,CM,67.1,overcast clouds,5.4685,9.8818,Vista Palace Hotel
452,Dingle,PH,76.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
455,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
456,San Pedro,PH,82.35,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
457,Arcata,US,70.66,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
458,Moerai,PF,73.8,broken clouds,-22.4333,-151.3333,Le Manotel
459,Kieta,PG,81.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
460,Katherine,AU,61.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
461,Arawa,PG,80.69,light rain,-6.2132,155.5367,Coastline Guest House
462,Ryuo,JP,68.59,overcast clouds,35.65,138.5,Hoterunaito Kofushowa
464,Manakara,MG,66.04,moderate rain,-22.1333,48.0167,La Residence Manakara
467,Never,FR,62.44,overcast clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
469,Dryden,CA,75.49,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
474,San Francisco,US,89.38,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
477,Mogadishu,SO,78.91,scattered clouds,2.0371,45.3438,Hotel Juba
478,Techiman,GH,72.41,light rain,7.5862,-1.9414,KONTINENTAL LODGE
480,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
481,Manono,CD,74.73,overcast clouds,-7.3,27.4167,Hotel hewa bora
483,Yavatmal,IN,82.36,overcast clouds,20.4,78.1333,Palash Inn
484,Pocatello,US,76.68,clear sky,42.8713,-112.4455,Clarion Inn Pocatello
485,Moche,PE,66.38,overcast clouds,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
486,Griffith,US,88.09,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
488,Altagracia De Orituco,VE,77.23,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
490,Mananara,MG,70.72,overcast clouds,-16.1667,49.7667,Chez Roger
491,Pachino,IT,72.59,broken clouds,36.7186,15.0907,Pietra Bianca B&B
494,Kenai,US,69.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
495,Birjand,IR,75.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
496,Nchelenge,ZM,67.77,overcast clouds,-9.3451,28.734,KD Travellers Home
497,Klaeng,TH,83.16,light rain,12.7797,101.6483,Damrongcheep in Resort
498,Melle,DE,61.25,overcast clouds,52.2,8.35,Bayrischer Hof
502,Nueva Guinea,NI,81.36,broken clouds,11.6876,-84.4562,Posadita La Reyna
505,Plettenberg Bay,ZA,67.95,clear sky,-34.0527,23.3716,Thanda Vista B&B
506,Noshiro,JP,63.54,overcast clouds,40.2039,140.0242,Azuma Ryokan
508,Tonantins,BR,77.94,scattered clouds,-2.8731,-67.8022,Hotel Rei Davi
509,Gashua,NG,87.89,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
511,Namatanai,PG,81.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
512,Ambalema,CO,89.83,broken clouds,4.7841,-74.7627,Hotel San Gabriel
